Symbol,profitMargins,revenueGrowth,returnOnEquity,Sector,Industry
UNP,27.019,-4.4,32.352,Industrials,Railroads
UAL,-63.43299999999999,-59.6,-91.931,Industrials,Airlines
UNH,5.333,14.8,21.114999,Healthcare,Healthcare Plans
UPS,5.776,27.0,98.739,Industrials,Integrated Freight & Logistics
URI,10.872,-3.2,21.957001,Industrials,Rental & Leasing Services
UHS,8.61,6.5,16.823,Healthcare,Medical Care Facilities
UNM,5.874,7.000000000000001,7.706,Financial Services,Insurance - Life
VLO,-0.464,-5.1,0.13,Energy,Oil & Gas Refining & Marketing
VTR,-2.4549998,-8.7,-0.8380000000000001,Real Estate,REIT - Healthcare Facilities
VRSK,25.155002,5.3,29.225,Industrials,Consulting Services
VZ,15.045,10.9,29.518998000000003,Communication Services,Telecom Services
VRTX,43.057,13.8,35.773,Healthcare,Biotechnology
VFC,4.415,22.8,11.067,Consumer Cyclical,Apparel Manufacturing
VIAC,10.7530005,14.000000000000002,17.686,N/A,N/A
VTRS,-12.562999,69.1,-10.578,Healthcare,Drug Manufacturers - Specialty & Generic
V,49.93,-2.1,29.502,Financial Services,Credit Services
VNO,-18.872,-11.8,-4.289,Real Estate,REIT - Office
VMC,14.045,1.7999999999999998,11.762,Basic Materials,Building Materials
WAB,5.568,-5.2,4.163,Industrials,Railroads
WMT,2.1760002,2.7,15.681,Consumer Defensive,Discount Stores
WBA,1.5650000000000002,12.1,10.0159995,Healthcare,Pharmaceutical Retailers
DIS,-7.735,-13.4,-3.924,Communication Services,Entertainment
WM,9.974,10.3,21.956,Industrials,Waste Management
WEC,16.070999,27.6,11.727,Utilities,Utilities - Regulated Electric
WFC,11.598,39.4,4.239,Financial Services,Banks - Diversified
WELL,16.823,-16.400000000000002,4.526,Real Estate,REIT - Healthcare Facilities
WST,18.189,36.5,25.494,Healthcare,Medical Instruments & Supplies
WDC,2.1300001,-0.8999999999999999,3.616,Technology,Computer Hardware
WU,15.436,1.7000000000000002,2169.03,Financial Services,Credit Services
WRK,-4.063,-0.2,-6.2700000000000005,N/A,N/A
WY,15.981000000000002,45.0,15.256,Real Estate,REIT - Specialty
WHR,6.638,23.9,29.872,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WMB,13.709,36.5,8.092,Energy,Oil & Gas Midstream
WLTW,15.027,5.0,13.14,N/A,N/A
WYNN,-104.189,-23.9,-560.5459999999999,Consumer Cyclical,Resorts & Casinos
XEL,12.564998999999998,26.0,10.998999,Utilities,Utilities - Regulated Electric
XLNX,20.54,12.5,24.856001,N/A,N/A
XYL,6.0489997,11.8,10.508,Industrials,Specialty Industrial Machinery
ZBRA,13.557,28.000000000000004,31.078,Technology,Communication Equipment
ZBH,8.009,3.6,4.68,Healthcare,Medical Devices
ZION,35.569,70.1,14.544,Financial Services,Banks - Regional
ZTS,25.299,22.0,51.746,Healthcare,Drug Manufacturers - Specialty & Generic
